"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Bình luận","Lượt phân phối","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Người xem","Lượt xem","Số Giây xem trung bình","Số Giây xem"
122122781169206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Da sau laser, lăn kim hay dùng retinol cần được phục hồi chuẩn y khoa thì đây đây sẽ là giải pháp cho bạn. 
#tiensidanghuuphuc #chonglaohoa #chongviem 
#kemphuchoi
#rausam",157,"05/09/2026 00:15",https://www.facebook.com/reel/1292518863078929/,"Thước phim",,"Trọn đời",8,-5.6x,6601,73,2,46,14,5,6376,7020,13.39,86732.18
122122780701206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Phương pháp hạ nhiệt cho làn da sau các liệu trình thẩm mỹ xâm lấn bằng mặt nạ công nghệ mới.
#tiensidanghuuphuc #chonglaohoa #chongviem 
#matna
#matnadongkho",167,"05/08/2026 19:19",https://www.facebook.com/reel/2233868633814269/,"Thước phim",,"Trọn đời",9,-10.3x,2468,57,0,42,6,2,2219,2702,17.093,41553.527
122123544303206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Thói quen nêm mặn mỗi ngày đang âm thầm làm huyết áp tăng lên?
#TangHuyetAp #TimMach #MuoiItNatri
#tiensidanghuuphuc #chonglaohoa  #chongviem",178,"05/16/2026 03:14",https://www.facebook.com/reel/1918836295447410/,"Thước phim",,"Trọn đời",1,-4.1x,966,10,-1,5,1,0,840,1175,9.153,8503.587
122123543961206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/16/2026 03:11",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid0Zie1FfmhewQkB2oC5g4mG9hazzMKHStfsoLbEifLXfiSnfiCXShshw27mv3z2Ayil,"Nội dung",,"Trọn đời",0,--,288,5,1,5,0,0,279,435,,
122123503989206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vì sao tóc rụng ngày càng nhiều dù bạn vẫn còn rất trẻ?
#tiensidanghuuphuc #chonglaohoa  #chongviem
#RungToc #ChamSocToc #SucKhoeNangToc",166,"05/15/2026 17:17",https://www.facebook.com/reel/839505822537280/,"Thước phim",,"Trọn đời",0,-1.2x,5113,84,3,57,17,10,4850,5536,16.991,84378.267
122123437479206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Một bữa ăn nhiều tinh bột tinh chế có thể làm gương mặt kém tươi chỉ sau vài giờ?
 #tiensidanghuuphuc #chonglaohoa  #chongviem
#Insulin
#AnUongLanhManh",178,"05/15/2026 01:24",https://www.facebook.com/reel/1006279918598402/,"Thước phim",,"Trọn đời",0,-2.9x,5541,68,4,53,12,5,5201,5846,15.294,82500.521
122123411211206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Điều gì sẽ xảy ra nếu cơ thể ngủ ít hơn  6 tiếng? #tiensidanghuuphuc #giacngu #chonglaohoa #ngukhongdugiac #naobo #chongviem",185,"05/14/2026 18:39",https://www.facebook.com/reel/1007876488838125/,"Thước phim",,"Trọn đời",0,-5.3x,5671,64,2,55,9,2,5613,5954,11.403,63128.869
122123373459206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Lý do sự dụng mỹ phẩm như da vẫn bị kích ứng.
#chongloahoa
#tiensidanghuuphuc 
#ChamSocDa
#DaNhayCam",200,"05/14/2026 08:22",https://www.facebook.com/reel/1481116250143667/,"Thước phim",,"Trọn đời",0,-9.8x,5111,24,1,22,3,3,5102,5302,6.806,34168.571
122123348097206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Lão hóa bắt đầu từ phản ứng viêm âm thầm bên trong cơ thể.
#chongloahoa
#viemmantinh
#chongviem
#tiensidanghuuphuc",196,"05/14/2026 02:58",https://www.facebook.com/reel/1497749418717953/,"Thước phim",,"Trọn đời",4,-2.2x,5763,117,2,69,19,26,5638,6292,22.343,127203.72
122123308119206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Làn da sẽ thay đổi nhanh hơn khi mang thai? #tiensidanghuuphuc #phunumangthai #chonglaohoa #Landa",184,"05/13/2026 19:15",https://www.facebook.com/reel/1522150819519349/,"Thước phim",,"Trọn đời",22,-4.9x,5860,104,3,67,10,5,5650,6225,11.11,64561.537
