"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Số Giây xem trung bình","Bình luận","Lượt phân phối","Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Số Giây xem","Người xem","Lượt xem"
122123544303206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Thói quen nêm mặn mỗi ngày đang âm thầm làm huyết áp tăng lên?
#TangHuyetAp #TimMach #MuoiItNatri
#tiensidanghuuphuc #chonglaohoa  #chongviem",178,"05/16/2026 03:14",https://www.facebook.com/reel/1918836295447410/,"Thước phim",,"Trọn đời",10.25,1,-20.1x,0,0,7333,69,1,59,9,2,72427.939,6955,7509
122123569047206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","41 tuổi nhưng cơ thể chỉ như người 29 Ronaldo đã và đang làm điều gì?
#tiensidanghuuphuc #chonglaohoa  #chongviem
#Ronaldo",179,"05/16/2026 08:06",https://www.facebook.com/reel/1708736870134223/,"Thước phim",,"Trọn đời",39.584,8,-18.3x,0,0,893,44,0,28,5,3,35824.146,738,1114
122123607201206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Da mặt bị căng kít sau khi ngủ dậy là dấu hiệu mất nước hay khô da?
#tiensidanghuuphuc #chonglaohoa  #chongviem
#DaMatNuoc #DaKho #ChamSocDa",166,"05/16/2026 18:09",https://www.facebook.com/reel/1479811793942778/,"Thước phim",,"Trọn đời",11.543,0,-14x,0,0,6471,53,0,45,7,4,72079.465,6148,6694
122123626413206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vì sao có một số nhóm nghệ sĩ nghệ sĩ Hàn Quốc sau 40 tuổi vẫn duy trì được trạng thái ổn định?
#tiensidanghuuphuc #chonglaohoa  #chongviem",168,"05/17/2026 00:13",https://www.facebook.com/reel/1920292898691055/,"Thước phim",,"Trọn đời",21.845,10,-3.6x,0,0,10213,214,12,170,20,18,213672.997,9528,10695
122123645625206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Đường ruột khỏe cũng giúp cơ thể chống viêm hiệu quả! #tiensidanghuuphuc #chonglaohoa #chongviem #duongruot #thucphamlenmen",185,"05/17/2026 04:16",https://www.facebook.com/reel/1282872897350972/,"Thước phim",,"Trọn đời",13.545,1,-14.6x,0,0,5769,66,1,50,13,4,75760.911,5507,6029
122123715429206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Những Sản phẩm chăm sóc da bán chạy trên thế giới, lại có thể không phù hợp với làn da của bạn.
#chongloahoa
#tiensidanghuuphuc 
#ChamSocDa
#hangraobaoveda",173,"05/17/2026 19:06",https://www.facebook.com/reel/1562923142159619/,"Thước phim",,"Trọn đời",9.488,0,-16x,0,0,5618,46,4,37,6,3,51958.433,5377,5813
122123731779206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","3 vấn đề da lão hóa và 1 tinh chất giải quyết cùng lúc cả 3 vấn đề này.
#chongloahoa
#tiensidanghuuphuc 
#ChamSocDa
#peptide",146,"05/17/2026 23:53",https://www.facebook.com/reel/3333125906848328/,"Thước phim",,"Trọn đời",23.697,63,-5.8x,0,0,4191,202,3,126,11,9,97848.479,3949,4831
122123762601206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Sau tuổi 30, cơ thể có thể lão hóa nhanh hơn khi  thiếu CoQ10. Vậy làm thế nào để bổ sung nó.
#chongloahoa
#tiensidanghuuphuc 
#chongviem 
#Q10 
#CoQ10",169,"05/18/2026 06:05",https://www.facebook.com/reel/1291776026492175/,"Thước phim",,"Trọn đời",23.809,0,-8.5x,0,0,3215,62,1,48,5,10,74238.509,2974,3546
122123816643206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","3 Công thức kết hợp Peptide chống lão hóa toàn diện.
#chongloahoa
#tiensidanghuuphuc 
#ChamSocDa
#peptide",166,"05/18/2026 20:07",https://www.facebook.com/reel/4230430653877053/,"Thước phim",,"Trọn đời",11.437,2,-15.8x,0,0,5219,68,1,55,13,3,58756.911,4831,5522
122123836011206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","6 sai lầm phổ biến khi dùng retinol.
Retinol là một trong những hoạt chất chống lão hóa có bằng chứng lâm sàng rõ ràng nhất hiện nay. Tuy nhiên, cũng là hoạt chất bị dùng sai nhiều nhất. Hôm nay Tiến sĩ Đặng Hữu Phúc đến từ Đại học Trung y Dược Thượng Hải sẽ chỉ ra 6 sai lầm phổ biến nhất và cách khắc phục từng trường hợp.
#chongloahoa
#tiensidanghuuphuc 
#ChamSocDa
#retinol",165,"05/19/2026 00:56",https://www.facebook.com/reel/4328583944138549/,"Thước phim",,"Trọn đời",13.802,0,-7.3x,0,0,6227,58,2,42,8,9,83699.176,5606,6589
122123870877206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vùng da lão hóa nhanh nhất mà bạn chưa chắc đã để ý tới! #laohoaco #tiensidanghuuphuc #chongloahoa #HangRaoBaoVeDa",184,"05/19/2026 06:52",https://www.facebook.com/reel/1704410410980603/,"Thước phim",,"Trọn đời",18.575,2,-7.8x,0,0,6599,71,4,50,12,9,119494.606,6217,6971
122123933619206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Phân biệt giữa collagen bôi và collagen uống.
#chongloahoa
#tiensidanghuuphuc 
#collagen",152,"05/19/2026 22:05",https://www.facebook.com/reel/966443356408962/,"Thước phim",,"Trọn đời",12.046,0,-9.9x,0,0,6575,56,4,50,4,4,78011.508,6205,6960
122123961687206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","7 dưỡng chất người trên 40 tuổi KHÔNG THỂ thiếu nhưng lại đang bị thâm hụt nhanh chóng.
#chongloahoa
#tiensidanghuuphuc 
#chongviem 
#Q10 
#B12
#Omega7",184,"05/20/2026 04:14",https://www.facebook.com/reel/1333525128352945/,"Thước phim",,"Trọn đời",37.234,1,-3.8x,0,0,11153,328,28,217,57,60,406418.072,10553,12477
