"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Bình luận","Lượt phân phối","Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Người xem","Lượt xem","Số Giây xem trung bình","Số Giây xem"
122124264873206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Omega-3 loại nào là tốt nhất và nguồn gốc từ đâu? #tiensidanghuuphuc #omega3 #taobien #chonglaohoa #bosungomega3",153,"05/23/2026 00:53",https://www.facebook.com/reel/1330681582342457/,"Thước phim",,"Trọn đời",3,-4.7x,0,0,7461,129,3,103,16,11,7031,8222,22.894,168182.767
122124243207206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vì sao chăm da đều đặn mà da vẫn khô và sạm? Chắc hẳn do 1 chất trong cơ thể bạn mà bạn chưa biết cách bổ sung! #tiensidanghuuphuc #chonglaohoa #Ha #laohoada #winona #baovehangraoda",193,"05/22/2026 19:57",https://www.facebook.com/reel/2246714856091185/,"Thước phim",,"Trọn đời",2,-9.1x,0,0,6479,76,5,60,12,6,6190,6844,17.156,108515.803
122124943833206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Hai người cùng tuổi, nhưng một người da vẫn căng sáng, một người lại xỉn màu và chảy xệ. Khác biệt nằm ở đâu? Hãy cùng Tiến Sĩ Hữu Phúc tìm hiểu!  #DaCangBong #ChongLaoHoa #ChamSocDa #Glutathione #Collagen #VitaminC #DaSangDeuMau #SkincareKhoaHoc #AntiAging #TienSiHuuPhuc #BiQuyetTreLau #LamDepTuBenTrong #LaoHoa",123,"05/30/2026 04:59",https://www.facebook.com/reel/4311529142421962/,"Thước phim",,"Trọn đời",4,+2.3x,0,0,4588,103,2,63,20,12,4539,5283,16.225,73227.598
122124944061206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Uống Glutathione mà da vẫn xỉn, thâm vẫn lâu mờ? #Glutathione #ChongLaoHoa #ChamSocDaTuBenTrong #TienSiDangHuuPhuc",145,"05/29/2026 19:03",https://www.facebook.com/reel/5311217702352976/,"Thước phim",,"Trọn đời",1,-4.6x,0,0,4440,47,2,36,6,6,4241,4865,16.026,69938.839
122124843285206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Quầng thâm, bọng mắt, nếp nhăn chân chim.  Bạn có biết rằng dù skincare cho mặt có tốt đến đâu, vùng da mắt vẫn cần một công thức riêng? Vì đây là vùng da mỏng nhất, dễ tổn thương nhất và lão hóa sớm nhất. Trong video hôm nay, Tiến sĩ Đặng Hữu Phúc sẽ chia sẻ về một công thức dưỡng mắt xử lý cùng lúc cả ba vấn đề này. Chúc bạn và gia đình luôn rạng rỡ và trẻ trung.  #DuongMat #QuangTham #BongMat #NepNhanChanChim #ChongLaoHoa #ChamSocDa #Skincare #Skincare40 #AntiAging #VitaminC #Peptide #TienSiHuuPhuc #LamDepKhongTuoi #LaoHoa",126,"05/29/2026 05:10",https://www.facebook.com/reel/3495039617318982/,"Thước phim",,"Trọn đời",4,-10.1x,0,0,5913,53,1,35,10,5,5731,6239,7.892,45880.723
122124843591206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","3 phương pháp chăm sóc da nhạy cảm khoa học  #ChongLaoHoa #TienSiHuuPhuc #ChamSocSucKhoe #BiQuyetTreLau #Chamsocdanhaycam",184,"05/28/2026 21:59",https://www.facebook.com/reel/2209093879845526/,"Thước phim",,"Trọn đời",0,-10.3x,0,0,5584,56,4,44,8,6,5431,5840,10.36,56556.877
122124749973206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","NGOÀI 60 NHƯNG TUỔI SINH HỌC CHỈ 38!  Tốc độ lão hóa 0,66 năm mỗi năm — chậm hơn người bình thường gần một nửa. Điều thú vị là Dave Pascoe không chi hàng triệu đô, không chạy đua công nghệ, cũng không ăn kiêng cực đoan. Hơn 10 năm qua, anh chỉ học từ các nghiên cứu miễn phí, sách và blog chuyên gia, rồi tự áp dụng vào cuộc sống. Và kết quả nói lên tất cả. Vậy người bình thường chúng ta học được gì từ anh ấy?  #ChongLaoHoa #SongKhoeSongTho #DavePascoe #TuoiSinhHoc #BiQuyetTreLau #SongLanhManh #DuongSinh #AntiAging #SucKhoeTuNhien #LoiSongKhoe #TreHoa #ChamSocSucKhoe #TienSiHuuPhuc",183,"05/28/2026 05:25",https://www.facebook.com/reel/1755304012119075/,"Thước phim",,"Trọn đời",4,-2.2x,0,0,9448,199,11,141,26,33,9230,10263,29.923,278140.325
122124753549206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Chống lão hóa không bắt đầu từ mỹ phẩm, mà bắt đầu từ chính bữa ăn mỗi ngày. Giảm đường, ăn lành mạnh hơn để cơ thể khỏe từ bên trong và trẻ lâu hơn theo thời gian.  #TiensiDangHuuPhuc #Laohoa #Chonglaohoa #Dinhduongkhoemanh #Songkhoemoingay #Trelaukhoelau #Anuonglanhmanh #Khoahoclaohoa",174,"05/28/2026 01:30",https://www.facebook.com/reel/27121018287551626/,"Thước phim",,"Trọn đời",2,-9.5x,0,0,5832,70,1,49,14,7,5789,6207,13.275,76042.182
122124752355206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Chống lão hóa không chỉ nằm ở skincare, mà còn bắt đầu từ cách mình ăn mỗi ngày.  Anthocyanin — nhóm hoạt chất có nhiều trong thực phẩm màu tím  — đang được nghiên cứu về vai trò hỗ trợ chống oxy hóa và giảm viêm âm thầm.  #TienSiDangHuuPhuc #Chonglaohoa #Laohoa #Yhoclaohoa #Anthocyanin #Dinhduongchonglaohoa #Chongoxyhoa #Anuongkhoahoc #Chamsocdatubentrong #Suckhoelanda",197,"05/27/2026 19:33",https://www.facebook.com/reel/1009225548220945/,"Thước phim",,"Trọn đời",0,-10x,0,0,5789,54,4,46,7,3,5549,6202,14.646,83516.879
122124645051206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","KEM CHỐNG NẮNG TỐT: KHÔNG CHỈ CHỐNG NẮNG, MÀ CÒN CHỐNG LÃO HÓA VÀ PHỤC HỒI  Nhiều người vẫn nghĩ kem chống nắng chỉ để che chắn tia UV. Nhưng với công nghệ hiện đại, một loại kem chống nắng lý tưởng còn phải đảm nhận vai trò chống lão hóa và phục hồi, đặc biệt là với làn da nhạy cảm. Hãy cùng Tiến sĩ Đặng Hữu Phúc (Đại học Trung Y Dược Thượng Hải) giải mã 4 nhiệm vụ trong 1 của kem chống nắng đúng nghĩa.  #KemChongNang #ChongLaoHoa #PhucHoiDa #DaNhayCam #TienSiDangHuuPhuc #ChamSocDaChuanKhoa #SongKhoeMoiNgay #LaoHoa",157,"05/27/2026 05:35",https://www.facebook.com/reel/963129333385060/,"Thước phim",,"Trọn đời",22,-4.4x,0,0,8912,140,7,80,16,15,8502,9707,17.181,151404.649
122124644493206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","VÌ SAO PHỤ NỮ KHÍ HUYẾT KÉM LUÔN XANH XAO VÀ GIÀ TRƯỚC TUỔI?  Da dẻ nhợt nhạt, hoa mắt, chóng mặt, chân tay lạnh, hay mất tập trung... đều là dấu hiệu báo động hồng cầu và huyết sắc tố của bạn đang sụt giảm. Để cải thiện tận gốc, Tiến sĩ Đặng Hữu Phúc (Đại học Trung Y Dược Thượng Hải) sẽ hướng dẫn bạn một chế độ ăn uống chuẩn y khoa và Đông y.  #KhiHuyetKem #ThieuMau #SucKhoePhuNu #ChonAnNgon #SongKhoeMoiNgay #TienSiDangHuuPhuc #DongYBienChung #AnUongLanhManh #ChongLaoHoa #LaoHoa",189,"05/27/2026 02:12",https://www.facebook.com/reel/1465494451562456/,"Thước phim",,"Trọn đời",3,-8.3x,0,0,6171,87,1,57,21,11,6085,6582,14.271,86712.939
122124643317206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","5 ""KHÔNG"" ĐỂ SỐNG THỌ: BÍ QUYẾT TỪ ĐÔNG Y ĐẾN KHOA HỌC  Sống thọ không phụ thuộc vào ""gen"" hay đồ bổ, mà nằm ở việc bạn có dám bỏ đi 5 thói quen độc hại này hay không? Hãy cùng Tiến sĩ Đặng Hữu Phúc (Đại học Trung Y Dược Thượng Hải) tìm hiểu ngay.  #SongTho #DuongSinh #SucKhoeChuDong #SongKhoeMoiNgay #BiQuyetSongTho #TienSiDangHuuPhuc #SongXanh #YHocCoTruyen #KhoaHocSucKhoe #ChongLaoHoa #LaoHoa",168,"05/26/2026 20:09",https://www.facebook.com/reel/1599112931154347/,"Thước phim",,"Trọn đời",5,-1.3x,0,0,15425,451,20,344,58,57,14904,17053,32.566,490413.697
122124571167206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Da chảy xệ, xỉn màu, mụn viêm hay nhanh lão hóa không chỉ đến từ mỹ phẩm dùng sai, mà còn có thể đến từ những món ăn rất quen thuộc mỗi ngày. Da không chỉ phản ánh thứ bạn bôi lên mặt, mà còn phản ánh rất rõ những gì bạn đưa vào cơ thể mỗi ngày.  Lưu video này lại để kiểm tra xem trong chế độ ăn của bạn đang có nhóm thực phẩm nào cần điều chỉnh nhé.  #TienSiDangHuuPhuc #Chonglaohoa #Laohoada #Chamsocdakhoahoc #Glycation #Collagen #Anuongkhoahoc #Thucphamtotchoda #DaLieu  #Songkhoedep",193,"05/26/2026 07:40",https://www.facebook.com/reel/1683046386231180/,"Thước phim",,"Trọn đời",0,-6.1x,0,0,5802,61,5,51,8,6,5781,6227,17.904,102572.87
122124571371206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Sau tuổi 30, da sạm, nám nhẹ và xỉn màu không chỉ đến từ việc thiếu dưỡng trắng.  Lưu video này lại để hiểu đúng hơn về cách dùng Vitamin C trong việc chống lão hóa da.  #TienSiDangHuuPhuc #Chonglaohoa #Laohoa #VitaminC #Lamsangda  #Daxinmau #Namda #Chamsocdakhoahoc #Skincarekhoahoc #Chongoxyhoa #Phucdoida #Dalieu #Trehoada",174,"05/26/2026 02:45",https://www.facebook.com/reel/1373347638015954/,"Thước phim",,"Trọn đời",11,-8.7x,0,0,5894,89,0,73,10,5,5673,6421,14.498,84944.29
122124543735206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Lão hóa không bắt đầu từ nếp nhăn mà thường bắt đầu từ bên trong tế bào, khi NAD+ dần cạn kiệt. Sau tuổi 50, cơ thể chỉ còn một nửa lượng NAD+ so với thời 20 tuổi. Đó cũng là lý do khiến bạn mệt mỏi kéo dài dù ngủ đủ giấc, da chùng xuống, trí nhớ bắt đầu giảm sút — dù lối sống vẫn bình thường. Tiến sĩ Đặng Hữu Phúc sẽ giải thích vì sao NMN là con đường bổ sung NAD+ hiệu quả nhất hiện nay, và khoa học nói gì về điều đó. Nếu bạn đang có những dấu hiệu trên, đừng ngần ngại chia sẻ, Tiến sĩ Hữu Phúc sẵn sàng đồng hành cùng bạn.  #NADplus #NMN #ChốngLãoHóa #TrườngThọ #TiếnSĩĐặngHữuPhúc #SứcKhỏeToànDiện #LãoHóaTếBào #AntiAging #KhoaHọcTrườngThọ",163,"05/25/2026 19:05",https://www.facebook.com/reel/980596557682637/,"Thước phim",,"Trọn đời",49,-1.7x,0,0,8882,232,8,137,33,22,7382,10135,25.96,226740.641
122124508665206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/25/2026 09:34",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid02LsBG2WCr7y7AeZdNxyKZ95dP68D2FF8KN38s5ABqz2iqD1VYm8S9qgwBnkH2eEQsl,"Nội dung",,"Trọn đời",0,--,0,0,263,2,0,0,0,0,258,511,,
122124490239206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí quyết giữ gìn vẻ ngoài trẻ trung của các ngôi sao nổi tiếng.  #laohoa #chonglaohoa  #tiensidanghuuphuc #lamdepkhongkho",195,"05/25/2026 05:23",https://www.facebook.com/reel/827573586748431/,"Thước phim",,"Trọn đời",11,-0.9x,0,0,27570,491,36,375,50,70,25649,29442,29.49,775224.566
122124485607206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/25/2026 04:14",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid033QFd3Y924bLki7aS3pqpahwNcz1wJNXaxYC9y2YZc23QbBAmwJXHjKADKT8bZtiel,"Nội dung",,"Trọn đời",0,--,0,0,511,8,0,8,0,1,486,810,,
122124450243206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Tập kháng lực buổi tối có thể hỗ trợ cải thiện giấc ngủ. #laohoa #chonglaohoa  #tiensidanghuuphuc #lamdepkhongkho #tapkhangluc",164,"05/24/2026 19:44",https://www.facebook.com/reel/995736832866580/,"Thước phim",,"Trọn đời",0,-6.8x,0,0,7115,113,3,85,16,14,6767,7604,15.843,109782.647
122124383373206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Có một sự thật mà người uống collagen đều không biết. #collagen  #laohoa #chonglaohoa  #tiensidanghuuphuc #lamdepkhongkho",148,"05/24/2026 03:44",https://www.facebook.com/reel/4440450226169814/,"Thước phim",,"Trọn đời",2,-5.4x,0,0,8080,128,8,97,17,12,7594,8766,22.506,177103.6
122124334707206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí mật sống thọ của người Sardinia, hòn đảo nhỏ ở Ý. #laohoa #chonglaohoa  #tiensidanghuuphuc #lamdepkhongkho #bacsiphuc",158,"05/23/2026 17:12",https://www.facebook.com/reel/1660728751904229/,"Thước phim",,"Trọn đời",17,-1x,0,0,24658,563,34,448,44,64,23552,25844,22.817,536806.755
122124288357206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí quyết chống lão hóa của các hoàng hậu trung hoa thời xưa! #tamthat #tiensidanghuuphuc #chonglaohoa #dapmatna #cachdungtamthat",121,"05/23/2026 05:31",https://www.facebook.com/reel/1006212895239929/,"Thước phim",,"Trọn đời",7,-3.6x,0,0,13527,234,8,160,29,34,11561,14092,14.344,183132.455
