"Lượt bắt đầu báo cáo,""Lượt kết thúc báo cáo"",""Tên chiến dịch"",""Lượt phân phối chiến dịch"",""Kết quả"",""Chỉ báo kết quả"",""Chi phí trên mỗi kết quả"",""Ngân sách nhóm quảng cáo"",""Loại ngân sách nhóm quảng cáo"",""Số tiền đã chi tiêu (VND)"",""Lượt hiển thị"",""Người tiếp cận"",""Kết thúc"",""Cài đặt ghi nhận"",""Lượt mua"",""Giá trị chuyển đổi từ lượt mua"",""ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua"",""Người liên hệ nhắn tin mới"",""Chi phí trên mỗi người liên hệ nhắn tin mới (VND)"",""Lượt bắt đầu cuộc trò chuyện qua tin nhắn"",""Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"",""Đơn đặt hàng đã tạo"",""Đơn đặt hàng đã vận chuyển"""
"2026-05-16,2026-05-22,""A4_ FL_0"",not_delivering,296,actions:like,2339.4527027,""Sử dụng ngân sách nhóm quảng cáo"",0,692478,12648,10520,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,A2_FL_0,not_delivering,661,actions:like,1779.23600605,""Sử dụng ngân sách nhóm quảng cáo"",0,1176075,23166,19251,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,A1_FL_02,active,900,actions:like,1636.05444444,""Sử dụng ngân sách nhóm quảng cáo"",0,1472449,28968,23272,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"


"2026-05-16,2026-05-22,""A4_ MES_02"",not_delivering,14,actions:onsite_conversion.messaging_conversation_started_7d,42725.5,""Sử dụng ngân sách nhóm quảng cáo"",0,598157,6792,4447,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",2,1936000,3.236608,14,42725.5,14,42725.5,2,"

"2026-05-16,2026-05-22,""A4_ MES_03"",not_delivering,36,actions:onsite_conversion.messaging_conversation_started_7d,41226.36111111,""Sử dụng ngân sách nhóm quảng cáo"",0,1484149,10411,5663,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,33,44974.212121,36,41226.361111,,"
"2026-05-16,2026-05-22,A2_FL_2,active,746,actions:like,1613.63002681,""Sử dụng ngân sách nhóm quảng cáo"",0,1203768,22823,18955,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,A2_FL_3,active,848,actions:like,1690.71933962,""Sử dụng ngân sách nhóm quảng cáo"",0,1433730,36287,31984,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,A2_FL_04,not_delivering,700,actions:like,1787.45857143,""Sử dụng ngân sách nhóm quảng cáo"",0,1251221,19473,15760,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,A1_FL_04,active,1176,actions:like,1193.76360544,""Sử dụng ngân sách nhóm quảng cáo"",0,1403866,26477,21372,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"



"2026-05-16,2026-05-22,A2_FL_4,active,816,actions:like,1712.27818627,""Sử dụng ngân sách nhóm quảng cáo"",0,1397219,36072,31751,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,""A4_ FL_04"",inactive,14,actions:like,3974.71428571,""Sử dụng ngân sách nhóm quảng cáo"",0,55646,1085,1014,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-16,2026-05-22,""A4_ FL_05"",not_delivering,298,actions:like,2166.05033557,""Sử dụng ngân sách nhóm quảng cáo"",0,645483,14096,12372,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
