"Lượt bắt đầu báo cáo,""Lượt kết thúc báo cáo"",""Tên chiến dịch"",""Lượt phân phối chiến dịch"",""Kết quả"",""Chỉ báo kết quả"",""Chi phí trên mỗi kết quả"",""Ngân sách nhóm quảng cáo"",""Loại ngân sách nhóm quảng cáo"",""Số tiền đã chi tiêu (VND)"",""Lượt hiển thị"",""Người tiếp cận"",""Kết thúc"",""Cài đặt ghi nhận"""
"2026-05-09,2026-05-15,""A4_ FL_0"",not_delivering,363,actions:like,2133.90633609,""Sử dụng ngân sách nhóm quảng cáo"",0,774608,15418,12860,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_01"",not_delivering,64,actions:like,2046.5,""Sử dụng ngân sách nhóm quảng cáo"",0,130976,2086,2008,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_0,not_delivering,912,actions:like,1435.24780702,""Sử dụng ngân sách nhóm quảng cáo"",0,1308946,28432,23789,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A1_FL_02,not_delivering,1108,actions:like,1265.74819495,""Sử dụng ngân sách nhóm quảng cáo"",0,1402449,32705,26132,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_02"",not_delivering,68,actions:like,2538.63235294,""Sử dụng ngân sách nhóm quảng cáo"",0,172627,3432,3267,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_01"",inactive,13,actions:onsite_conversion.messaging_conversation_started_7d,33028.84615385,""Sử dụng ngân sách nhóm quảng cáo"",0,429375,3489,2611,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_02"",not_delivering,38,actions:onsite_conversion.messaging_conversation_started_7d,34242,""Sử dụng ngân sách nhóm quảng cáo"",0,1301196,13043,6890,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_1,not_delivering,131,actions:like,1942.58015267,""Sử dụng ngân sách nhóm quảng cáo"",0,254478,3817,3397,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_03"",not_delivering,45,actions:onsite_conversion.messaging_conversation_started_7d,40775.82222222,""Sử dụng ngân sách nhóm quảng cáo"",0,1834912,11389,6132,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_2,not_delivering,908,actions:like,1296.68502203,""Sử dụng ngân sách nhóm quảng cáo"",0,1177390,23327,18544,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_3,not_delivering,1039,actions:like,1320.25697786,""Sử dụng ngân sách nhóm quảng cáo"",0,1371747,42923,35346,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_04,not_delivering,900,actions:like,1479.64555556,""Sử dụng ngân sách nhóm quảng cáo"",0,1331681,23469,15586,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_02"",not_delivering,41,actions:like,4377.63414634,""Sử dụng ngân sách nhóm quảng cáo"",0,179483,3714,3347,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A1_FL_04,not_delivering,1426,actions:like,958.128331,""Sử dụng ngân sách nhóm quảng cáo"",0,1366291,30181,23199,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,A2_FL_4,not_delivering,1052,actions:like,1283.33079848,""Sử dụng ngân sách nhóm quảng cáo"",0,1350064,42888,34821,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_07"",not_delivering,34,actions:like,2732.91176471,""Sử dụng ngân sách nhóm quảng cáo"",0,92919,1632,1535,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_06"",not_delivering,6,actions:like,4136.33333333,""Sử dụng ngân sách nhóm quảng cáo"",0,24818,377,362,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_03"",not_delivering,43,actions:like,3505.74418605,""Sử dụng ngân sách nhóm quảng cáo"",0,150747,2616,2263,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_04"",not_delivering,108,actions:like,3018,""Sử dụng ngân sách nhóm quảng cáo"",0,325944,6884,5931,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_04"",not_delivering,33,actions:like,3295,""Sử dụng ngân sách nhóm quảng cáo"",0,108735,1940,1787,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ FL_05"",not_delivering,177,actions:like,2063.14689266,""Sử dụng ngân sách nhóm quảng cáo"",0,365177,9591,7958,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_04"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,660805,3166,1948,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_05"",not_delivering,3,actions:onsite_conversion.lead_grouped,209654.66666667,""Sử dụng ngân sách nhóm quảng cáo"",0,628964,1697,1107,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
"2026-05-09,2026-05-15,""A4_ MES_06"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,434834,1646,1207,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"""
