"Lượt bắt đầu báo cáo,""Lượt kết thúc báo cáo"",""Tên chiến dịch"",""Lượt phân phối chiến dịch"",""Kết quả"",""Chỉ báo kết quả"",""Chi phí trên mỗi kết quả"",""Ngân sách nhóm quảng cáo"",""Loại ngân sách nhóm quảng cáo"",""Số tiền đã chi tiêu (VND)"",""Lượt hiển thị"",""Người tiếp cận"",""Kết thúc"",""Cài đặt ghi nhận"",""Lượt mua"",""Giá trị chuyển đổi từ lượt mua"",""ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua"",""Người liên hệ nhắn tin mới"",""Chi phí trên mỗi người liên hệ nhắn tin mới (VND)"",""Lượt bắt đầu cuộc trò chuyện qua tin nhắn"",""Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"",""Đơn đặt hàng đã tạo"",""Đơn đặt hàng đã vận chuyển"""
"2026-05-23,2026-05-29,A1_FL_02,active,897,actions:like,1430.57302118,""Sử dụng ngân sách nhóm quảng cáo"",0,1283224,31533,26756,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,A2_FL_2,active,643,actions:like,1357.53499222,""Sử dụng ngân sách nhóm quảng cáo"",0,872895,22551,19745,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,A2_FL_3,not_delivering,560,actions:like,1577.00535714,""Sử dụng ngân sách nhóm quảng cáo"",0,883123,23003,20804,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,A1_FL_04,active,986,actions:like,1081.69675456,""Sử dụng ngân sách nhóm quảng cáo"",0,1066553,25641,23476,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"

"2026-05-23,2026-05-29,A2_FL_4,not_delivering,366,actions:like,1669.02185792,""Sử dụng ngân sách nhóm quảng cáo"",0,610862,15711,14457,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ MES_04"",active,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,1244585,7429,3448,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",2,2487000,1.998256,49,25399.693878,50,24891.7,1,"
"2026-05-23,2026-05-29,""A4_ MES_06"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"







"2026-05-23,2026-05-29,A4_FL_05,not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"

"2026-05-23,2026-05-29,A1_FL_05,active,862,actions:like,1297.21577726,""Sử dụng ngân sách nhóm quảng cáo"",0,1118200,31887,24930,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"




"2026-05-23,2026-05-29,""A4_ MES_05"",active,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,573510,1820,1147,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,15,38234,22,26068.636364,,"
"2026-05-23,2026-05-29,""A4_ MES_06"",active,11,actions:onsite_conversion.messaging_conversation_started_7d,39026.63636364,""Sử dụng ngân sách nhóm quảng cáo"",0,429293,2715,1552,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,10,42929.3,11,39026.636364,,"
"2026-05-23,2026-05-29,""A4_ MES_07"",active,7,actions:onsite_conversion.messaging_conversation_started_7d,70292.57142857,""Sử dụng ngân sách nhóm quảng cáo"",0,492048,2806,1378,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,5,98409.6,7,70292.571429,,"
"2026-05-23,2026-05-29,""A4_ FL_0"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_01"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,A2_FL_0,not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_02"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"


"2026-05-23,2026-05-29,""A4_ MES_01"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ MES_02"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"

"2026-05-23,2026-05-29,A2_FL_1,inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ MES_03"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"


"2026-05-23,2026-05-29,A1_FL_03,inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,A2_FL_04,not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_02"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"


"2026-05-23,2026-05-29,""A4_ FL_03"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_04"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_04"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_05"",not_delivering,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_07"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ FL_06"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
"2026-05-23,2026-05-29,""A4_ MES_05"",inactive,,,,""Sử dụng ngân sách nhóm quảng cáo"",0,0,0,0,""Đang diễn ra"",""Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày"",,,,,,,,,"
